SrNo,District_Name,Taluka_Name,Taluka_Latitude,Taluka_Longitude,Month,Year,Soil_Type,Soil_pH,Soil_EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Soil_Moisture,Soil_Depth_Class,Avg_Temperature,Min_Temperature,Max_Temperature,Rainfall_mm,Humidity_percent,Wind_Speed_kmph,Solar_Radiation,Evapotranspiration,Cloud_Cover_percent,Crop_Recommended,Crop_Suitability,Crop_Yield_Quintal_per_Hectare
5076,NAVSARI,Jalalpore,20.9484948,72.897892,2,2017,Black Cotton,7.47,1.62,0.58,350.7,21.1,148.9,38.6,Deep,13.3,10.3,15.4,3.8,48.3,12.5,361.9,3.29,64.1,Tobacco,Yes,17.43
5077,ARAVALLI,Bhiloda,23.768877,73.2479027,1,2017,Silty,6.83,1.77,1.05,251.1,39.9,190.1,29.6,Shallow,24.5,19.1,30.0,7.4,32.8,30.4,310.3,2.7,9.7,Jowar,Yes,16.04
5078,DAHOD,DAHOD,22.8358786,74.2556823,4,2016,Black Cotton,6.93,3.78,0.18,263.7,46.1,534.7,39.0,Deep,29.6,23.9,32.0,21.5,35.1,29.5,883.7,6.56,55.5,Urad (Black Gram),No,4.514149262161758
5079,BANASKANTHA,Kankrej,24.0387783,71.9411013,9,2020,Sandy Loam,6.83,2.2,1.31,349.3,33.4,662.1,11.3,Medium,28.8,25.3,35.4,234.9,71.8,23.5,287.9,3.65,100.0,Moong (Green Gram),No,6.248548976985244
5080,ANAND,Anand,22.5586555,72.9627227,7,2019,Silty,6.39,1.42,0.81,366.3,55.9,86.0,39.2,Shallow,30.6,25.4,32.8,77.5,52.2,17.2,958.2,6.07,56.1,Bajra,No,13.079363478383863
5081,SABARKANTHA,Poshina,24.3731337,73.0324745,9,2017,Silty,6.09,0.24,0.91,214.0,45.1,420.4,6.9,Medium,31.8,28.6,35.6,442.3,74.9,8.3,88.7,0.82,100.0,Castor,Yes,13.76
5082,NARMADA,Nandod,21.8429212,73.4495407,1,2018,Silty,7.04,1.92,0.45,456.9,23.1,402.2,41.0,Deep,23.6,21.5,26.0,6.8,35.6,7.2,1010.0,6.56,15.1,Jowar,Yes,15.14
5083,TAPI,Valod,21.0488646,73.2615399,6,2021,Silty,6.83,2.03,1.67,147.9,29.1,500.7,12.3,Medium,33.2,29.9,35.6,213.8,62.0,26.4,899.4,2.33,52.6,Moong (Green Gram),No,6.060311558013138
5084,AHMADABAD,Dholera,22.2495856,72.1959892,4,2019,Silty,6.45,3.11,1.57,87.2,53.1,104.0,9.2,Deep,33.5,31.1,38.8,4.0,38.7,20.1,780.0,5.9,19.5,Jowar,Yes,13.22
5085,JUNAGADH,Keshod,21.3148629,70.2678937,3,2018,Silty,6.8,3.62,1.63,455.0,41.5,330.7,3.7,Deep,32.7,28.0,35.7,25.1,34.6,27.2,740.3,3.39,43.9,Urad (Black Gram),Yes,10.14
5088,ARAVALLI,Malpur,23.3594332,73.4649753,2,2019,Black Cotton,6.92,3.71,0.55,340.7,41.5,601.2,39.8,Medium,13.1,5.4,16.6,3.1,42.6,39.7,328.6,5.91,28.7,Wheat,Yes,24.26
5089,BANASKANTHA,Vadgam,24.0782271,72.4891682,3,2020,Sandy Loam,6.8,0.33,0.96,153.2,22.6,543.6,36.0,Shallow,39.2,32.5,41.6,10.6,35.0,39.6,260.9,2.04,63.1,Bajra,Yes,12.53
5090,SABARKANTHA,Talod,23.3530428,72.9510592,6,2014,Loam,7.24,2.83,0.77,204.5,54.8,210.1,23.2,Medium,33.3,31.2,39.1,568.9,95.0,13.0,50.0,1.74,100.0,Castor,No,9.093873240336384
5091,RAJKOT,Jamkandorna,22.033325356894554,70.76527248505214,1,2020,Black Cotton,8.39,3.16,0.8,465.7,7.3,324.4,28.4,Medium,21.2,17.9,26.0,14.4,36.5,80.0,282.6,2.84,33.0,Wheat,No,21.412429989046885
5092,AHMADABAD,Mandal,23.2883831,71.9178854,3,2017,Loam,6.08,3.33,0.7,89.3,52.4,212.5,26.3,Medium,38.5,31.9,41.2,11.6,33.9,19.2,501.0,4.49,23.3,Bajra,Yes,10.6
5093,BHAVNAGAR,Vallabhipur,21.8885909,71.8781618,11,2023,Loam,7.06,1.83,1.59,76.2,56.3,303.6,2.4,Medium,17.0,14.3,22.4,1.5,47.3,31.6,292.1,6.15,13.0,Wheat,Yes,21.88
5094,AHMADABAD,Mandal,23.2883831,71.9178854,1,2014,Black Cotton,6.75,1.94,1.02,189.1,54.9,99.6,18.2,Medium,23.6,21.2,27.7,1.6,32.4,29.2,1062.4,3.68,26.8,Wheat,Yes,20.71
5095,ANAND,Khambhat,22.3166806,72.6243126,11,2014,Loam,6.74,2.15,0.58,299.5,22.2,486.2,27.1,Medium,15.8,13.5,21.5,2.2,39.6,18.6,811.6,5.79,64.2,Mustard,Yes,10.01
5096,RAJKOT,Paddhari,22.4297959,70.6057564,5,2021,Loam,7.29,1.68,1.61,418.6,37.2,210.7,43.8,Medium,36.5,29.1,41.7,13.1,31.4,33.4,319.0,5.75,41.4,Bajra,Yes,15.38
5097,RAJKOT,Paddhari,22.4297959,70.6057564,12,2020,Black Cotton,7.71,1.61,0.38,229.3,56.2,684.5,43.8,Medium,21.4,18.6,25.7,7.5,39.6,7.6,788.9,2.68,60.3,Wheat,Yes,31.57
5098,RAJKOT,Jasdan,22.0399,71.2046,4,2014,Black Cotton,7.0,3.08,1.6,322.9,40.7,158.1,17.0,Deep,38.3,31.4,43.9,1.2,49.4,20.6,915.5,6.44,18.1,Urad (Black Gram),No,5.631685425212187
5099,DAHOD,Jhalod,23.1006273,74.1560018,7,2023,Loam,7.0,1.41,0.21,69.07421759852679,25.2,638.7,28.0,Deep,27.7,22.8,34.2,568.0,87.0,18.9,808.5,1.31,100.0,Groundnut,Yes,16.587897557019517
5100,ANAND,Tarapur,22.4882996,72.6576842,4,2016,Silty,7.46,3.26,1.23,393.2,58.3,375.3,23.2,Shallow,27.5,24.7,33.0,18.4,44.1,15.3,1182.0,2.89,18.1,Bajra,No,11.942724968854424
5101,PANCHMAHALS,Morwa,22.829248945454545,73.03712348181818,3,2016,Loam,7.05,0.6,0.94,278.0,18.9,289.7,38.1,Deep,31.3,24.9,35.7,2.6,35.5,80.0,876.8,5.0,49.8,Urad (Black Gram),No,5.466746722410391
5102,ARAVALLI,Meghraj,23.5219981,73.5486403,7,2019,Loam,7.2,3.84,1.22,339.0,15.5,270.5,42.5,Deep,29.6,23.8,33.5,661.0,95.0,35.7,94.6,0.55,100.0,Soybean,Yes,13.56
5103,MAHESANA,Visnagar,23.6978037,72.5507598,9,2020,Sandy Loam,7.08,2.32,1.37,187.2,23.1,517.1,34.4,Shallow,29.4,23.6,31.9,592.0,95.0,13.5,737.1,1.94,100.0,Groundnut,Yes,16.427306124149393
5104,NAVSARI,Chikhli,20.7581399,73.0598983,1,2016,Silty,7.1,2.7,0.23,260.9,41.9,120.7,14.4,Medium,21.2,16.7,25.9,15.3,42.4,15.4,551.7,5.27,35.0,Wheat,Yes,30.39
5105,PORBANDAR,Kutiyana,21.6228345,69.9852088,2,2018,Silty,6.85,3.49,0.25,107.4,53.8,618.0,19.7,Deep,20.5,16.5,26.1,10.1,50.3,6.4,891.2,2.5,23.3,Wheat,Yes,23.84
5106,BHARUCH,Jhagadia,21.7157199,73.1497026,5,2015,Loam,7.08,3.43,1.31,492.8,51.9,179.8,13.9,Medium,29.1,27.1,35.8,20.0,49.1,34.5,791.0,5.78,9.1,Jowar,Yes,11.04
5107,VALSAD,Kaprada,20.3445867,73.2166457,4,2014,Silty,6.7,3.69,0.45,179.9,22.4,423.3,34.4,Shallow,33.6,25.9,39.8,17.2,46.2,12.9,1107.1,4.79,20.1,Bajra,Yes,12.53175939569065
5108,KACHCHH,Mandvi,22.8314482,69.35081,7,2014,Loam,7.23,0.32,1.46,368.9,28.0,667.4,22.6,Deep,26.6,21.8,29.3,300.9,75.8,29.3,572.4,5.02,91.4,Rice,Yes,21.43
5109,AHMADABAD,Mandal,23.2883831,71.9178854,2,2018,Loam,6.25,0.09,1.77,150.9,28.6,355.6,32.9,Medium,23.6,19.0,28.9,9.0,36.3,37.0,827.7,6.53,25.5,Jowar,Yes,14.34
5110,DAHOD,Devgadbaria,22.87978639169436,74.10500860548173,9,2014,Black Cotton,6.62,3.32,0.72,87.7,11.9,474.6,23.6,Shallow,27.9,24.2,31.8,241.6,67.6,80.0,363.8,1.85,100.0,Moong (Green Gram),No,4.913072445268542
5111,GANDHINAGAR,Dehgam,23.1640326,72.8818319,5,2020,Black Cotton,7.41,1.02,0.37,438.8,27.6,351.2,35.5,Medium,31.0,29.0,33.6,15.5,45.5,29.0,831.9,6.23,56.3,Urad (Black Gram),Yes,9.14
5112,BHAVNAGAR,Ghogha,21.6874043,72.2761717,8,2021,Silty,6.52,0.65,1.49,138.9,54.9,506.2,11.8,Shallow,27.5,21.7,34.2,683.0,95.0,20.4,50.0,0.91,100.0,Soybean,Yes,17.18
5113,BHAVNAGAR,Bhavnagar,21.7718836,72.1416449,7,2019,Loam,6.05,3.17,1.76,392.2,18.9,684.3,23.2,Medium,26.8,21.3,33.7,93.9,58.6,10.5,1009.9,2.32,63.4,Sesame,No,3.810406891819944
5114,AMRELI,Babra,21.8485451,71.3036656,12,2019,Black Cotton,6.75,1.33,1.16,404.8,20.0,221.2,23.2,Deep,16.7,13.5,21.2,2.7,49.5,20.2,919.1,2.68,38.0,Wheat,Yes,28.98
5115,DAHOD,Limkheda,22.834878,73.9846526,9,2016,Silty,7.33,1.73,0.17,498.3,27.4,493.9,24.2,Medium,25.4,20.2,30.4,264.2,59.2,21.6,447.7,2.72,62.6,Rice,Yes,17.92
5116,SURENDRANAGAR,Dasada,23.3238913,71.831442,4,2018,Silty,6.42,2.52,0.36,157.9,49.5,155.8,41.8,Shallow,36.6,29.0,40.0,8.7,32.1,10.6,798.3,6.5,70.2,Bajra,Yes,15.42
5117,KACHCHH,LAKHPAT,23.8268882,68.7751578,8,2018,Silty,7.16,2.55,1.59,380.4,48.6,459.3,19.4,Deep,27.1,21.5,32.2,421.6,82.3,27.4,786.4,1.68,92.8,Rice,Yes,23.91
5118,PATAN,Patan,23.8505032,72.1133403,12,2016,Loam,7.05,3.12,0.92,70.67195375770889,23.7,686.4,20.4,Deep,20.7,13.1,27.6,5.6,38.0,22.7,499.4,3.66,14.3,Wheat,Yes,31.93
5119,NARMADA,Sagbara,21.5453441,73.7920866,5,2019,Silty,6.36,2.61,0.84,143.1,59.0,97.9,38.9,Medium,29.4,26.6,32.6,7.1,31.0,6.1,743.1,3.15,59.4,Bajra,Yes,14.03
5120,RAJKOT,Jasdan,22.0399,71.2046,7,2021,Loam,7.18,2.98,1.47,61.6,37.5,235.9,24.4,Deep,32.6,29.6,38.4,459.8,78.8,8.5,925.7,2.55,100.0,Castor,Yes,12.43
5121,BHAVNAGAR,Gariadhar,21.5385705,71.5792958,7,2018,Loam,6.6,0.97,0.2,244.7,9.1,521.1,39.8,Shallow,27.2,20.3,31.5,169.0,51.8,38.8,850.5,3.56,54.3,Sesame,No,4.77785404274528
5122,GANDHINAGAR,Mansa,23.425103,72.6583024,9,2016,Black Cotton,7.29,3.25,1.58,98.5,6.7,603.8,36.8,Medium,27.1,21.4,31.7,418.4,88.2,21.0,303.5,2.44,100.0,Castor,Yes,10.08
5123,VALSAD,Umbergaon,20.1537655,72.7905804,9,2016,Sandy Loam,7.34,0.11,1.62,97.3,22.7,123.5,30.5,Medium,28.1,23.7,32.1,535.4,90.0,34.6,665.0,2.67,100.0,Groundnut,Yes,19.27
5124,TAPI,Nizar,21.476998,74.1958106,11,2018,Black Cotton,7.67,2.74,0.58,452.4,57.5,650.2,24.9,Shallow,22.9,17.3,26.6,6.2,47.2,40.8,643.7,3.18,18.6,Wheat,Yes,26.01
5125,ARAVALLI,Malpur,23.3594332,73.4649753,6,2023,Silty,7.37,3.35,0.79,120.2,12.2,620.0,15.3,Shallow,26.0,19.9,31.9,208.1,62.4,12.0,155.6,4.79,100.0,Urad (Black Gram),Yes,7.43
5126,DANGS,Vagai,20.7587262,73.68735329999998,8,2016,Loam,6.43,2.11,1.52,388.2,35.4,330.9,5.2,Shallow,28.1,21.8,34.7,653.8,95.0,80.0,176.0,3.59,100.0,Soybean,Yes,13.34
5127,NARMADA,Dediapada,21.6271369,73.5898076,11,2017,Black Cotton,6.76,2.93,1.5,79.3,10.2,220.3,27.1,Deep,25.3,20.8,30.7,6.6,44.0,39.3,496.4,3.88,57.4,Jowar,Yes,12.63
5128,BOTAD,Gadhada,21.9682625,71.5769241,9,2023,Black Cotton,8.38,0.28,0.51,381.6,36.2,74.9,9.0,Medium,27.0,21.9,32.2,432.0,89.9,21.9,479.9,4.14,100.0,Cotton,No,11.4328083565411
5129,KACHCHH,Bhachau,23.3040626,70.3507333,2,2020,Sandy,6.62,0.85,1.35,59.1,13.0,360.4,7.2,Deep,21.0,18.3,25.9,14.4,39.5,33.5,418.1,6.56,29.6,Wheat,Yes,23.37
5130,MAHESANA,Vadnagar,23.7853622,72.6332132,12,2018,Silty,7.12,0.31,1.46,191.5,55.3,656.6,28.5,Medium,26.6,22.6,32.3,3.8,33.7,30.4,262.3,2.9,8.2,Jowar,Yes,12.12
5131,SURAT,Bardoli,21.1338291,73.1053896,4,2020,Loam,6.92,2.04,1.05,472.3,50.7,532.7,14.6,Shallow,30.7,24.8,34.0,20.2,32.8,17.6,335.7,6.14,64.5,Jowar,Yes,14.67
5132,BANASKANTHA,Kankrej,24.0387783,71.9411013,8,2020,Silty,7.4,2.19,1.11,393.5,58.4,378.5,6.9,Shallow,27.0,19.4,32.6,387.9,75.9,35.5,61.2,1.47,94.0,Rice,Yes,20.73
5134,ANAND,Borsad,22.4094019,72.905252,9,2015,Black Cotton,7.99,1.85,1.61,235.0,15.0,573.8,4.2,Deep,28.2,21.5,32.3,552.9,88.5,39.4,440.8,1.68,100.0,Cotton,Yes,15.73
5135,AHMADABAD,Bavla,22.8278859,72.3684741,8,2014,Black Cotton,8.44,1.25,0.99,216.0,10.9,647.7,9.9,Deep,26.4,23.9,31.8,120.6,53.7,28.9,902.7,4.96,40.0,Sesame,No,4.887023848308744
5136,ARAVALLI,Meghraj,23.5219981,73.5486403,8,2020,Loam,7.08,0.6,0.34,285.8,57.6,273.6,44.2,Deep,25.2,20.9,30.3,286.5,69.3,27.5,441.4,3.9,100.0,Chickpea,Yes,10.39
5137,DANGS,Subir,20.7587262,73.68735329999998,10,2022,Black Cotton,6.92,2.6,0.68,277.3,40.7,411.7,15.1,Shallow,28.6,22.1,32.9,57.0,37.5,80.0,225.0,4.09,20.3,Bajra,Yes,14.3
5138,KHEDA,Matar,22.7073839,72.6623162,7,2018,Loam,6.35,1.67,1.41,407.4,38.2,651.8,43.1,Deep,28.2,23.4,32.3,237.0,70.2,23.9,487.8,1.58,100.0,Jowar,Yes,13.31
5139,BOTAD,Ranpur,22.3598858,71.7169084,11,2017,Black Cotton,7.2,3.48,1.26,169.7,9.2,84.9,8.7,Deep,23.9,19.9,26.3,17.8,40.4,24.7,1059.5,4.69,56.1,Wheat,Yes,30.32
5140,JUNAGADH,Vanthali,21.4772602,70.3321207,1,2021,Silty,6.74,1.99,1.15,328.8,45.8,697.9,29.6,Shallow,25.3,17.8,31.8,10.1,49.4,15.6,385.9,5.42,31.7,Urad (Black Gram),No,5.848281007605605
5141,KHEDA,Galteshwar,22.8686619,73.3084119,9,2021,Loam,7.42,2.81,0.83,255.1,51.3,518.0,21.6,Shallow,29.1,27.0,34.2,429.7,89.5,33.9,643.9,1.03,100.0,Cotton,Yes,15.46
5142,BHARUCH,Anklesvar,21.76338667452416,73.00471180351391,12,2015,Loam,6.25,0.9,0.55,468.5,16.1,87.7,43.3,Shallow,20.0,15.1,23.4,5.5,42.7,80.0,271.7,6.4,36.9,Wheat,Yes,28.01
5143,SURAT,Madvi,21.21105087919355,73.02497339854838,2,2022,Silty,6.06,1.0,0.94,446.2,35.6,595.5,25.8,Deep,11.9,7.9,13.9,15.3,51.1,80.0,441.7,2.44,67.6,Mustard,Yes,11.4
5144,PATAN,Patan,23.8505032,72.1133403,6,2019,Sandy Loam,6.82,2.85,1.21,397.2,54.5,576.8,15.3,Deep,25.4,20.6,28.3,278.7,58.0,27.2,1041.2,2.93,80.6,Chickpea,Yes,10.4
5146,PATAN,Harij,23.6931596,71.9008666,8,2016,Sandy Loam,7.43,1.87,1.15,248.5,8.3,363.8,8.2,Medium,27.9,20.7,31.4,527.7,89.7,37.0,635.4,0.5,100.0,Groundnut,Yes,16.648273826485003
5147,JUNAGADH,Visavadar,21.3417058,70.7534299,5,2015,Black Cotton,7.32,1.0,1.46,363.1,8.1,632.9,5.3,Medium,29.6,24.0,32.7,20.7,51.8,32.3,284.7,4.94,14.0,Urad (Black Gram),Yes,9.69
5148,PORBANDAR,Kutiyana,21.6228345,69.9852088,12,2018,Loam,6.81,0.36,0.64,93.6,19.3,474.3,33.6,Shallow,11.4,7.1,16.3,12.6,47.5,12.0,929.4,6.78,19.9,Wheat,Yes,30.49
5149,BANASKANTHA,Lakhani,24.2310058240942,72.03957018269928,11,2020,Loam,6.36,2.9,0.55,272.0,47.3,558.0,30.6,Deep,18.6,16.4,20.6,17.8,45.5,80.0,633.4,5.01,34.6,Wheat,Yes,30.17
5150,ARAVALLI,Modasa,23.4634245,73.2990631,10,2022,Black Cotton,7.45,2.04,1.54,76.2,22.3,554.9,32.5,Medium,24.3,18.8,29.2,19.1,33.7,7.7,498.3,2.25,30.6,Wheat,Yes,29.72
5151,SURENDRANAGAR,Chotila,22.4243903,71.1992399,11,2015,Silty,6.48,2.53,1.7,77.0,39.0,396.3,27.3,Shallow,10.7,6.1,15.4,11.9,35.0,34.4,1100.6,5.57,51.4,Mustard,Yes,12.27
5152,BANASKANTHA,Vav,24.363947,71.5123139,2,2015,Silty,7.08,1.16,0.95,485.3,34.0,428.2,24.4,Deep,24.4,21.1,28.6,3.2,35.5,35.2,741.5,5.22,69.8,Urad (Black Gram),Yes,8.03
5153,BANASKANTHA,Dantiwada,24.3239388,72.3255763,8,2019,Sandy,6.53,0.39,1.37,237.8,17.4,76.9,26.0,Deep,29.8,23.6,32.0,442.0,81.1,33.1,336.5,0.84,100.0,Castor,Yes,9.5
5154,JAMNAGAR,Lalpur,22.1915377,69.963963,12,2020,Black Cotton,7.43,1.36,1.12,284.5,45.7,69.4,25.3,Medium,12.6,6.3,18.2,12.7,46.7,15.0,576.5,3.93,68.0,Wheat,Yes,24.86
5155,BOTAD,Gadhada,21.9682625,71.5769241,7,2015,Silty,7.08,2.36,0.25,265.0,23.0,698.7,35.6,Shallow,29.8,22.5,33.0,465.7,80.3,27.2,730.6,0.5,100.0,Rice,Yes,38.82
5156,AHMADABAD,Dholka,22.726607,72.4411863,9,2017,Black Cotton,6.5,2.16,1.57,265.4,58.3,364.8,12.7,Deep,26.9,23.7,29.5,485.0,95.0,23.6,436.1,1.47,100.0,Tur (Pigeon Pea),Yes,9.73
5157,PANCHMAHALS,Halol,22.5025899,73.4691058,1,2016,Silty,7.47,3.03,0.6,239.1,43.1,294.8,5.9,Deep,12.8,8.1,14.8,6.7,46.6,18.0,548.2,5.12,42.8,Wheat,Yes,31.76
5158,MAHISAGAR,Kadana,23.289682,73.8380384,12,2014,Silty,6.2,3.75,1.14,139.0,46.7,265.1,7.9,Shallow,16.5,9.1,22.2,11.6,47.9,39.2,680.9,6.56,33.3,Wheat,Yes,22.75
5159,PATAN,Chanasma,23.7150529,72.1150247,11,2019,Loam,7.06,0.06,0.25,63.7,27.5,200.2,6.2,Medium,23.5,18.2,27.8,10.1,38.8,32.5,624.7,3.36,29.7,Jowar,Yes,13.82
5160,KHEDA,Nadiad,22.6895535,72.8713603,9,2018,Loam,7.28,0.62,1.65,309.8,17.3,403.7,26.2,Shallow,30.1,23.6,33.5,131.5,49.9,31.4,1096.8,3.59,37.0,Sesame,No,3.933438233166713
5161,VALSAD,Valsad,20.6067767,72.9272881,1,2016,Black Cotton,6.8,3.29,0.73,72.2,49.3,543.5,19.4,Deep,25.4,17.6,30.1,15.5,33.1,16.7,987.8,4.93,18.6,Jowar,Yes,14.74
5162,AMRELI,Babra,21.8485451,71.3036656,12,2015,Silty,6.3,1.26,1.74,66.9,56.1,338.0,3.5,Medium,21.2,17.1,27.0,9.4,47.9,24.7,1071.2,6.3,32.2,Wheat,Yes,28.14
5163,MAHESANA,Satlasana,24.0246132,72.7933287,3,2018,Loam,6.54,2.38,1.72,61.6,13.6,574.3,2.9,Medium,33.6,27.1,37.2,5.2,43.5,17.9,1066.2,5.68,57.8,Urad (Black Gram),Yes,10.35
5164,NARMADA,Sagbara,21.5453441,73.7920866,3,2014,Silty,6.26,1.61,1.77,189.0,31.6,260.9,37.2,Deep,29.7,26.8,35.3,3.2,48.5,15.1,416.9,4.01,21.4,Bajra,Yes,11.48
5165,RAJKOT,Kotda,22.0277283,70.926358,8,2020,Loam,6.36,1.54,1.0,417.9,59.7,550.9,41.4,Medium,27.3,20.3,31.3,94.4,49.5,29.0,248.7,3.2,86.2,Sesame,No,4.147787394225665
5166,DAHOD,Singvad,22.9618608,73.9617848,2,2018,Silty,6.9,0.73,1.05,283.7,10.0,288.5,20.5,Medium,22.0,18.2,24.3,5.2,37.6,26.7,1047.7,6.51,52.1,Wheat,Yes,20.81
5167,AHMADABAD,Dhandhuka,22.3816365,71.9791414,8,2022,Silty,7.18,2.8,0.55,204.1,21.5,410.1,20.2,Shallow,29.8,27.6,35.9,230.8,61.1,21.0,525.9,4.94,100.0,Jowar,Yes,11.6
5168,RAJKOT,Kotda,22.0277283,70.926358,3,2015,Silty,6.7,2.78,1.79,216.5,19.8,579.8,36.3,Shallow,34.1,28.0,40.0,26.0,38.8,19.9,543.5,3.23,41.8,Bajra,Yes,13.666319213012974
5169,PATAN,Sidhpur,23.9657978,72.3367423,8,2020,Silty,7.05,2.89,0.54,211.5,55.8,315.5,9.3,Shallow,24.2,20.2,30.7,423.9,85.7,32.5,423.0,0.75,100.0,Rice,Yes,17.71
5170,BHAVNAGAR,Vallabhipur,21.8885909,71.8781618,4,2015,Silty,6.08,3.21,0.23,127.0,48.4,151.1,23.5,Deep,41.6,35.2,46.5,18.2,35.0,33.6,1063.2,4.41,57.0,Bajra,Yes,11.34
5172,PORBANDAR,Porbandar,21.6409,69.611,9,2021,Loam,7.06,1.36,0.44,107.2,12.7,637.7,29.7,Deep,29.7,25.3,32.2,263.4,64.2,22.9,159.9,4.61,100.0,Urad (Black Gram),Yes,10.1
5173,BANASKANTHA,Vav,24.363947,71.5123139,8,2020,Sandy Loam,7.17,3.02,0.38,264.2,43.9,211.3,7.7,Shallow,28.6,22.1,32.7,254.9,69.7,10.5,810.9,5.53,100.0,Moong (Green Gram),Yes,10.4
5174,KHEDA,Kheda,22.7516133,72.6857205,7,2016,Black Cotton,6.65,0.62,0.38,402.6,16.4,405.2,3.8,Deep,29.3,24.0,33.8,443.4,78.4,30.6,926.5,4.77,100.0,Tur (Pigeon Pea),Yes,9.2
5175,BANASKANTHA,Dhanera,24.5036694,72.0325116,10,2021,Sandy Loam,7.3,0.67,1.29,342.6,31.6,140.6,27.3,Shallow,30.4,23.1,33.1,15.7,39.7,7.3,931.8,6.23,17.7,Bajra,Yes,12.56
5176,BANASKANTHA,Danta,24.187557,72.7649516,8,2016,Sandy,6.99,3.89,1.63,212.3,7.9,478.4,10.6,Shallow,29.5,22.3,35.0,476.8,79.9,22.5,50.0,3.32,100.0,Castor,Yes,12.28
5177,JUNAGADH,Visavadar,21.3417058,70.7534299,6,2022,Black Cotton,8.21,3.41,1.54,448.2,44.1,533.1,3.5,Deep,31.2,24.4,35.9,369.8,70.9,18.8,410.9,1.71,100.0,Castor,No,8.632654881742978
5178,SURENDRANAGAR,Sayla,22.5494312,71.4820838,5,2023,Loam,7.12,1.0,1.29,165.3,22.7,132.9,14.1,Medium,39.5,32.6,44.8,1.4,34.6,34.7,411.2,4.48,9.8,Bajra,Yes,11.07
5179,VALSAD,Umbergaon,20.1537655,72.7905804,4,2022,Silty,7.27,0.9,1.0,184.7,8.3,225.6,40.1,Deep,32.4,28.8,39.1,9.6,46.1,16.9,1099.0,2.2,15.3,Bajra,Yes,12.919803628758675
5180,ARAVALLI,Meghraj,23.5219981,73.5486403,1,2017,Sandy Loam,6.91,2.83,0.17,100.4,46.8,197.0,26.6,Shallow,25.1,22.9,30.4,4.2,40.8,7.8,401.5,5.96,35.0,Bajra,Yes,12.78
5181,DANGS,Ahwa,20.7587262,73.6873533,5,2018,Black Cotton,7.94,2.99,0.25,154.0,37.5,610.6,18.0,Deep,34.8,27.6,41.6,3.9,50.0,8.1,1034.5,4.51,18.5,Jowar,Yes,11.73
5182,RAJKOT,Lodhika,22.1328248,70.6322346,11,2018,Silty,6.32,3.01,1.0,401.3,31.0,206.0,19.0,Medium,12.8,9.2,16.2,14.0,45.2,30.9,900.3,6.6,9.2,Wheat,Yes,31.02
5183,KACHCHH,Anjar,23.1194278,70.0363797,1,2020,Sandy,6.82,2.3,0.35,160.2,49.9,260.2,23.2,Deep,19.5,12.0,26.0,4.8,48.6,39.5,1038.0,6.64,58.8,Wheat,Yes,30.71
5184,SURENDRANAGAR,Wadhwan,22.7028011,71.6723933,12,2020,Silty,7.15,1.44,1.18,223.1,28.3,228.5,11.3,Deep,18.9,13.8,24.9,11.8,47.6,6.5,1075.4,4.91,67.5,Chickpea,No,10.77033435959123
5185,SURAT,Palsana,21.0859408,72.978046,7,2023,Silty,7.34,2.4,0.67,174.1,23.2,362.1,39.4,Shallow,24.7,20.7,30.2,509.5,85.5,22.6,830.3,1.67,100.0,Potato,Yes,185.5
5187,JUNAGADH,Mendarda,21.3232985,70.4425757,12,2015,Black Cotton,7.73,2.2,0.99,375.0,17.8,622.9,10.8,Shallow,23.4,16.7,29.7,14.5,43.1,29.7,1030.1,3.34,24.1,Jowar,Yes,15.3
5188,RAJKOT,Paddhari,22.4297959,70.6057564,12,2021,Loam,7.06,2.14,0.61,103.2,9.6,568.2,7.4,Deep,18.1,15.5,21.2,8.4,50.1,6.4,1142.4,5.78,53.1,Wheat,Yes,24.55
5189,MAHISAGAR,Khanpur,23.3263907,73.6238021,7,2016,Loam,6.15,2.68,0.93,494.0,19.2,568.0,21.0,Deep,26.7,24.1,30.4,286.4,67.1,32.7,410.4,1.1,100.0,Rice,Yes,17.58
5190,AHMADABAD,Daskroi,22.9538235,72.7502756,2,2017,Loam,7.15,0.11,0.73,182.1,35.3,357.5,41.1,Deep,22.2,15.9,24.4,5.6,45.8,20.1,248.8,6.32,53.2,Wheat,Yes,25.02
5192,BANASKANTHA,Amirgadh,24.4060517,72.6411054,7,2019,Sandy Loam,7.32,3.85,1.64,62.35733728779307,55.7,588.2,34.8,Deep,28.2,23.3,34.4,508.0,94.1,35.9,856.0,1.05,100.0,Groundnut,Yes,21.01
5193,VADODARA,Vadodara,22.2973142,73.1942567,9,2023,Silty,6.37,1.39,0.26,282.2,39.9,73.3,14.7,Deep,29.9,27.6,33.2,290.2,67.7,22.0,470.5,1.49,93.2,Rice,Yes,19.16
5194,VADODARA,Vaghodia,22.3003935,73.3760638,1,2019,Silty,7.07,1.92,0.84,208.1,59.8,567.9,41.8,Medium,18.9,16.4,22.9,11.8,36.5,6.2,1099.6,5.5,57.2,Wheat,Yes,22.09
5195,JAMNAGAR,Jodiya,22.6925104,70.3054102,9,2018,Silty,6.34,3.25,0.86,387.8,14.9,287.4,37.0,Deep,27.3,22.7,30.6,105.7,57.5,16.9,1058.7,5.71,40.0,Sesame,No,4.466425610384742
